Frequency(Hz),   Magnitude(dB)
  380.634, 7.635201
  384.314, 7.603539
  388.029, 7.570619
  391.780, 7.538032
  395.567, 7.507872
  399.391, 7.482194
  403.252, 7.461175
  407.150, 7.443851
  411.086, 7.428769
  415.059, 7.415751
  419.072, 7.404679
  423.123, 7.395205
  427.213, 7.387194
  431.343, 7.380709
  435.513, 7.376045
  439.723, 7.373303
  443.973, 7.372650
  448.265, 7.375058
  452.598, 7.380942
  456.973, 7.389549
  461.391, 7.397970
  465.851, 7.401461
  470.354, 7.395967
  474.901, 7.381686
  479.492, 7.362041
  484.127, 7.341451
  488.807, 7.321657
  493.532, 7.303003
  498.303, 7.285413
  503.120, 7.268561
  507.984, 7.252611
  512.894, 7.237844
  517.852, 7.224859
  522.858, 7.213806
  527.912, 7.204031
  533.016, 7.193951
  538.168, 7.182030
  543.371, 7.167338
  548.623, 7.150182
  553.927, 7.132110
  559.281, 7.115859
  564.688, 7.103619
  570.146, 7.095460
  575.658, 7.089485
  581.223, 7.083048
  586.841, 7.074832
  592.514, 7.064871
  598.242, 7.053970
  604.025, 7.042889
  609.864, 7.031831
  615.759, 7.020840
  621.712, 7.009839
  627.722, 6.998672
  633.790, 6.986956
  639.916, 6.974434
  646.102, 6.961454
  652.348, 6.950077
  658.654, 6.943649
  665.021, 6.942867
  671.450, 6.945185
  677.941, 6.945638
  684.494, 6.941942
  691.111, 6.934904
  697.792, 6.927675
  704.537, 6.923384
  711.348, 6.922935
  718.224, 6.924194
  725.167, 6.922926
  732.177, 6.916150
  739.255, 6.905307
  746.401, 6.897038
  753.616, 6.897472
  760.901, 6.906566
  768.257, 6.918301
  775.683, 6.926960
  783.182, 6.931619
  790.753, 6.935047
  798.397, 6.940030
  806.115, 6.947989
  813.907, 6.959261
  821.775, 6.974801
  829.719, 6.994142
  837.740, 7.015132
  845.838, 7.034711
  854.014, 7.052163
  862.270, 7.069239
  870.605, 7.088026
  879.021, 7.109879
  887.519, 7.135977
  896.098, 7.166413
  904.760, 7.200326
  913.506, 7.235803
  922.337, 7.272090
  931.253, 7.310990
  940.255, 7.357067
  949.345, 7.410244
  958.522, 7.466091
  967.788, 7.518600
  977.143, 7.570437
  986.589, 7.628979
  996.126, 7.697863
 1005.755, 7.775692
 1015.478, 7.858490
 1025.294, 7.941612
 1035.205, 8.019384
 1045.212, 8.094839
 1055.316, 8.183722
 1065.518, 8.291968
 1075.818, 8.414802
 1086.218, 8.538670
 1096.718, 8.660630
 1107.319, 8.780817
 1118.024, 8.902511
 1128.831, 9.030994
 1139.744, 9.164199
 1150.761, 9.293703
 1161.885, 9.415859
 1173.117, 9.535569
 1184.457, 9.658498
 1195.907, 9.782857
 1207.468, 9.905924
 1219.140, 10.027575
 1230.925, 10.148920
 1242.824, 10.269994
 1254.838, 10.391125
 1266.969, 10.512990
 1279.216, 10.635647
 1291.582, 10.757264
 1304.067, 10.876445
 1316.673, 10.992793
 1329.401, 11.107306
 1342.252, 11.219834
 1355.228, 11.327871
 1368.328, 11.430491
 1381.556, 11.528720
 1394.911, 11.626085
 1408.395, 11.725172
 1422.010, 11.823458
 1435.756, 11.917395
 1449.635, 12.007040
 1463.649, 12.095737
 1477.797, 12.187194
 1492.083, 12.280940
 1506.506, 12.376317
 1521.069, 12.471684
 1535.773, 12.564062
 1550.619, 12.649874
 1565.609, 12.733468
 1580.743, 12.818655
 1596.024, 12.908405
 1611.452, 12.998847
 1627.030, 13.088650
 1642.758, 13.179902
 1658.638, 13.272370
 1674.672, 13.365659
 1690.860, 13.458771
 1707.206, 13.554286
 1723.709, 13.652324
 1740.371, 13.751024
 1757.195, 13.849763
 1774.182, 13.948163
 1791.332, 14.047383
 1808.649, 14.147700
 1826.132, 14.249119
 1843.785, 14.355330
 1861.609, 14.466776
 1879.604, 14.580306
 1897.774, 14.694942
 1916.120, 14.809813
 1934.642, 14.927444
 1953.344, 15.044688
 1972.227, 15.161122
 1991.292, 15.276264
 2010.541, 15.393723
 2029.976, 15.516356
 2049.600, 15.644912
 2069.413, 15.774697
 2089.417, 15.904292
 2109.615, 16.031450
 2130.009, 16.163528
 2150.599, 16.292160
 2171.388, 16.420200
 2192.378, 16.547020
 2213.572, 16.677135
 2234.970, 16.806774
 2256.575, 16.934856
 2278.388, 17.062626
 2300.413, 17.190865
 2322.651, 17.316727
 2345.103, 17.438698
 2367.773, 17.556423
 2390.662, 17.671322
 2413.771, 17.781925
 2437.105, 17.888927
 2460.664, 17.989712
 2484.450, 18.084515
 2508.467, 18.173370
 2532.716, 18.253931
 2557.199, 18.324913
 2581.919, 18.385658
 2606.878, 18.438152
 2632.078, 18.480286
 2657.522, 18.510717
 2683.211, 18.528341
 2709.149, 18.533596
 2735.338, 18.528151
 2761.780, 18.511557
 2788.478, 18.485020
 2815.433, 18.447508
 2842.649, 18.401173
 2870.128, 18.345249
 2897.873, 18.281391
 2925.886, 18.208721
 2954.170, 18.126163
 2982.728, 18.036093
 3011.561, 17.938774
 3040.673, 17.837963
 3070.066, 17.731762
 3099.744, 17.619656
 3129.709, 17.502121
 3159.963, 17.381166
 3190.510, 17.258671
 3221.351, 17.136162
 3252.491, 17.014517
 3283.933, 16.894691
 3315.678, 16.777910
 3347.729, 16.662922
 3380.091, 16.549067
 3412.766, 16.436266
 3445.756, 16.322926
 3479.066, 16.210297
 3512.697, 16.096205
 3546.654, 15.984181
 3580.938, 15.872711
 3615.554, 15.763773
 3650.505, 15.655316
 3685.794, 15.549168
 3721.423, 15.451354
 3757.397, 15.360035
 3793.719, 15.273079
 3830.392, 15.186066
 3867.420, 15.103878
 3904.805, 15.030374
 3942.552, 14.968113
 3980.664, 14.912538
 4019.144, 14.859170
 4057.996, 14.806661
 4097.224, 14.759072
 4136.831, 14.718908
 4176.821, 14.686712
 4217.197, 14.660939
 4257.964, 14.641155
 4299.125, 14.628796
 4340.684, 14.622683
 4382.644, 14.624490
 4425.010, 14.629592
 4467.786, 14.639176
 4510.975, 14.656052
 4554.581, 14.682917
 4598.609, 14.718412
 4643.063, 14.758681
 4687.946, 14.802741
 4733.264, 14.849929
 4779.019, 14.902104
 4825.217, 14.953503
 4871.861, 15.008077
 4918.956, 15.060524
 4966.507, 15.115160
 5014.517, 15.170554
 5062.991, 15.224008
 5111.934, 15.271238
 5161.350, 15.309977
 5211.243, 15.341195
 5261.619, 15.367207
 5312.482, 15.383734
 5363.836, 15.392059
 5415.688, 15.386919
 5468.040, 15.367202
 5520.898, 15.328835
 5574.268, 15.266890
 5628.152, 15.182647
 5682.559, 15.073298
 5737.491, 14.941272
 5792.954, 14.788798
 5848.953, 14.606804
 5905.493, 14.409002
 5962.581, 14.176563
 6020.219, 13.942360
 6078.416, 13.675589
 6137.174, 13.413605
 6196.501, 13.118509
 6256.401, 12.836884
 6316.880, 12.527794
 6377.944, 12.227606
 6439.598, 11.914686
 6501.848, 11.594204
 6564.700, 11.266726
 6628.160, 10.949096
 6692.232, 10.655774
 6756.925, 10.362305
 6822.243, 10.060934
 6888.192, 9.760503
 6954.778, 9.476327
 7022.008, 9.204182
 7089.889, 8.941444
 7158.425, 8.696140
 7227.624, 8.446726
 7297.492, 8.214559
 7368.035, 7.987994
 7439.260, 7.761001
 7511.174, 7.541899
 7583.783, 7.328571
 7657.093, 7.131833
 7731.113, 6.936430
 7805.848, 6.747283
 7881.305, 6.566252
 7957.492, 6.399955
 8034.415, 6.248893
 8112.082, 6.105861
 8190.500, 5.976938
 8269.675, 5.864901
 8349.616, 5.783628
 8430.330, 5.720061
 8511.824, 5.678486
 8594.106, 5.662874
 8677.184, 5.682487
 8761.063, 5.736383
 8845.755, 5.822081
 8931.265, 5.941977
 9017.602, 6.105198
 9104.772, 6.313890
 9192.786, 6.577848
 9281.651, 6.916994
 9371.375, 7.374977
 9461.966, 7.984971
 9553.433, 8.672318
 9645.783, 9.742774
 9739.026, 11.155466
 9833.172, 12.878813
 9928.227, 14.656433
10024.200, 16.336159
10121.103, 17.782835
10218.940, 18.839001
10317.725, 19.471210
10417.464, 19.657539
10518.167, 19.438465
10619.844, 18.877163
10722.504, 18.014797
10826.155, 16.994795
10930.810, 15.855083
11036.476, 14.774665
11143.162, 13.712996
11250.881, 12.773403
11359.641, 11.906165
11469.451, 11.158003
11580.324, 10.501384
11692.269, 9.899301
11805.295, 9.353365
11919.414, 8.848099
12034.637, 8.405265
12150.973, 8.027929
12268.434, 7.696074
12387.029, 7.423600
12506.772, 7.213968
12627.672, 7.068252
12749.741, 6.965250
12872.990, 6.922649
12997.431, 6.944860
13123.073, 7.046355
13249.932, 7.206849
13378.016, 7.442826
13507.338, 7.747025
13637.910, 8.135056
13769.744, 8.570003
13902.854, 9.058045
14037.249, 9.569363
14172.944, 10.063867
14309.951, 10.449757
14448.282, 10.631126
14587.950, 10.534500
14728.969, 10.136465
14871.351, 9.438366
15015.108, 8.526010
15160.256, 7.481441
15306.807, 6.434659
15454.774, 5.419768
15604.172, 4.477138
15755.014, 3.631581
15907.314, 2.884721
16061.087, 2.231301
16216.346, 1.634115
16373.105, 1.055564
16531.381, 0.426740
16691.186, -0.336267
16852.535, -1.201521
17015.445, -2.028905
17179.930, -2.709585
17346.004, -3.177238
17513.684, -3.522860
17682.984, -3.764897
17853.922, -3.997861
18026.512, -4.208942
18200.770, -4.398781
18376.713, -4.559618
18554.355, -4.712106
18733.717, -4.879509
18914.813, -5.078760
19097.656, -5.311676
19282.270, -5.605012
19468.666, -5.943895
19656.865, -6.300689
19846.885, -6.843511
20038.740, -7.525421
20232.449, -8.395387
20428.033, -9.243589
20625.506, -10.047098
20824.889, -10.951119
21026.197, -11.896258
21229.453, -13.075949
21434.674, -14.468714
21641.877, -16.155706
21851.084, -18.013626
22062.314, -20.014339
22275.586, -22.020737
22490.918, -24.174801
22708.332, -26.260143
22927.850, -28.461414
23149.488, -30.718666
23373.268, -33.144745
23599.213, -35.407539
23827.340, -36.732117
