Frequency(Hz),   Magnitude(dB)
  381.533, -17.275583
  385.209, -17.314880
  388.919, -17.353174
  392.666, -17.391029
  396.448, -17.428638
  400.267, -17.466211
  404.123, -17.503899
  408.016, -17.541874
  411.947, -17.580317
  415.915, -17.619396
  419.921, -17.659250
  423.966, -17.699942
  428.050, -17.741444
  432.174, -17.783463
  436.337, -17.826134
  440.540, -17.868999
  444.784, -17.912048
  449.068, -17.954861
  453.394, -17.997213
  457.762, -18.039036
  462.171, -18.080023
  466.624, -18.120443
  471.119, -18.160202
  475.657, -18.199633
  480.239, -18.238626
  484.865, -18.277786
  489.536, -18.316927
  494.251, -18.356422
  499.012, -18.396317
  503.819, -18.436546
  508.673, -18.477007
  513.573, -18.517420
  518.520, -18.557705
  523.515, -18.597298
  528.558, -18.635683
  533.649, -18.672523
  538.790, -18.707960
  543.980, -18.741688
  549.220, -18.773993
  554.511, -18.805115
  559.853, -18.835283
  565.246, -18.864882
  570.691, -18.893970
  576.188, -18.922413
  581.738, -18.949970
  587.342, -18.976496
  593.000, -19.001867
  598.713, -19.025990
  604.480, -19.048710
  610.303, -19.066757
  616.182, -19.082457
  622.118, -19.096050
  628.110, -19.107643
  634.161, -19.117947
  640.270, -19.128099
  646.438, -19.139137
  652.665, -19.151279
  658.952, -19.164209
  665.299, -19.177557
  671.708, -19.191071
  678.179, -19.204166
  684.712, -19.213667
  691.308, -19.219440
  697.967, -19.221113
  704.690, -19.218882
  711.479, -19.213488
  718.332, -19.205702
  725.252, -19.195539
  732.238, -19.182438
  739.292, -19.165821
  746.414, -19.145550
  753.604, -19.121708
  760.863, -19.093998
  768.193, -19.060610
  775.593, -19.022329
  783.064, -18.980183
  790.607, -18.934675
  798.223, -18.886480
  805.912, -18.835571
  813.676, -18.781368
  821.514, -18.723284
  829.427, -18.660789
  837.417, -18.594700
  845.484, -18.525789
  853.628, -18.454971
  861.851, -18.384245
  870.154, -18.312040
  878.536, -18.237144
  886.999, -18.160158
  895.543, -18.081596
  904.170, -18.001787
  912.880, -17.921221
  921.674, -17.840397
  930.552, -17.758684
  939.516, -17.674885
  948.566, -17.588497
  957.704, -17.500217
  966.929, -17.428143
  976.244, -17.364527
  985.648, -17.297516
  995.143, -17.227242
 1004.729, -17.155827
 1014.407, -17.085941
 1024.179, -17.018131
 1034.045, -16.951124
 1044.006, -16.883783
 1054.063, -16.815231
 1064.217, -16.745424
 1074.468, -16.673939
 1084.818, -16.609741
 1095.268, -16.549885
 1105.819, -16.486729
 1116.472, -16.421425
 1127.226, -16.355421
 1138.085, -16.289524
 1149.048, -16.223969
 1160.117, -16.158499
 1171.292, -16.093437
 1182.575, -16.028997
 1193.967, -15.965993
 1205.469, -15.904470
 1217.081, -15.837214
 1228.805, -15.762547
 1240.642, -15.685286
 1252.593, -15.605622
 1264.659, -15.525290
 1276.842, -15.444055
 1289.141, -15.361106
 1301.560, -15.276726
 1314.098, -15.194283
 1326.756, -15.118334
 1339.537, -15.051000
 1352.441, -14.990566
 1365.469, -14.922075
 1378.622, -14.842713
 1391.902, -14.767621
 1405.311, -14.696207
 1418.848, -14.626339
 1432.516, -14.555997
 1446.315, -14.484901
 1460.247, -14.413683
 1474.314, -14.343449
 1488.516, -14.274574
 1502.855, -14.206864
 1517.332, -14.139524
 1531.948, -14.066302
 1546.705, -13.984112
 1561.605, -13.901368
 1576.648, -13.817143
 1591.835, -13.730524
 1607.169, -13.642677
 1622.651, -13.555779
 1638.282, -13.471597
 1654.064, -13.389064
 1669.997, -13.306981
 1686.084, -13.225156
 1702.326, -13.144146
 1718.725, -13.066716
 1735.281, -12.993132
 1751.997, -12.916347
 1768.874, -12.836667
 1785.914, -12.755753
 1803.117, -12.675104
 1820.487, -12.594357
 1838.024, -12.512829
 1855.729, -12.430919
 1873.605, -12.347853
 1891.654, -12.262574
 1909.876, -12.171935
 1928.274, -12.077507
 1946.849, -11.983874
 1965.603, -11.886366
 1984.537, -11.786217
 2003.654, -11.683282
 2022.956, -11.578938
 2042.443, -11.475923
 2062.117, -11.375452
 2081.982, -11.278353
 2102.037, -11.184164
 2122.286, -11.093268
 2142.730, -11.007522
 2163.371, -10.925970
 2184.211, -10.849830
 2205.251, -10.773333
 2226.494, -10.696383
 2247.942, -10.619316
 2269.596, -10.541298
 2291.459, -10.462810
 2313.533, -10.384849
 2335.819, -10.308025
 2358.320, -10.234649
 2381.038, -10.164391
 2403.974, -10.098261
 2427.132, -10.033879
 2450.512, -9.962580
 2474.118, -9.893501
 2497.951, -9.826196
 2522.014, -9.760965
 2546.308, -9.699533
 2570.837, -9.641884
 2595.602, -9.589425
 2620.605, -9.543512
 2645.849, -9.504927
 2671.337, -9.474675
 2697.070, -9.451790
 2723.050, -9.435222
 2749.281, -9.424633
 2775.765, -9.420769
 2802.504, -9.423756
 2829.500, -9.432731
 2856.757, -9.447099
 2884.276, -9.467841
 2912.060, -9.495940
 2940.112, -9.532620
 2968.434, -9.577283
 2997.029, -9.627895
 3025.899, -9.683306
 3055.048, -9.745502
 3084.477, -9.836571
 3114.190, -9.926266
 3144.188, -10.008415
 3174.477, -10.081870
 3205.056, -10.146103
 3235.930, -10.202521
 3267.102, -10.252665
 3298.574, -10.299740
 3330.349, -10.345903
 3362.430, -10.395259
 3394.820, -10.450206
 3427.523, -10.515731
 3460.540, -10.586916
 3493.875, -10.665751
 3527.531, -10.748416
 3561.512, -10.833817
 3595.820, -10.923076
 3630.458, -11.015604
 3665.431, -11.109088
 3700.740, -11.201735
 3736.389, -11.294357
 3772.381, -11.389171
 3808.721, -11.484404
 3845.410, -11.580823
 3882.453, -11.645628
 3919.852, -11.710648
 3957.612, -11.775249
 3995.736, -11.836239
 4034.227, -11.896099
 4073.088, -11.954652
 4112.324, -12.013045
 4151.938, -12.067476
 4191.934, -12.114088
 4232.314, -12.158000
 4273.084, -12.200266
 4314.247, -12.243198
 4355.806, -12.281110
 4397.765, -12.314563
 4440.129, -12.349780
 4482.900, -12.391132
 4526.084, -12.439047
 4569.684, -12.489369
 4613.704, -12.540485
 4658.147, -12.592248
 4703.019, -12.648665
 4748.323, -12.707310
 4794.063, -12.765307
 4840.245, -12.821465
 4886.871, -12.894206
 4933.946, -12.972175
 4981.474, -13.051772
 5029.460, -13.129689
 5077.909, -13.210311
 5126.825, -13.296176
 5176.211, -13.385193
 5226.074, -13.476604
 5276.417, -13.568539
 5327.244, -13.665760
 5378.561, -13.770716
 5430.373, -13.878157
 5482.683, -13.989034
 5535.498, -14.104275
 5588.821, -14.229057
 5642.658, -14.365932
 5697.014, -14.506387
 5751.893, -14.647449
 5807.301, -14.787863
 5863.242, -14.934599
 5919.723, -15.091299
 5976.748, -15.253949
 6034.321, -15.413391
 6092.450, -15.569017
 6151.138, -15.699224
 6210.392, -15.825471
 6270.216, -15.956118
 6330.617, -16.084528
 6391.600, -16.206041
 6453.170, -16.319363
 6515.333, -16.434908
 6578.096, -16.552551
 6641.462, -16.665449
 6705.439, -16.775835
 6770.033, -16.875795
 6835.248, -16.978428
 6901.092, -17.203724
 6967.570, -17.477806
 7034.688, -17.738876
 7102.454, -17.983601
 7170.871, -18.223360
 7239.948, -18.459627
 7309.690, -18.679806
 7380.104, -18.877848
 7451.197, -19.041075
 7522.974, -19.181564
 7595.442, -19.308531
 7668.609, -19.430168
 7742.481, -19.536608
 7817.064, -19.627066
 7892.366, -19.706440
 7968.393, -19.780924
 8045.152, -19.844906
 8122.650, -19.880188
 8200.896, -19.877726
 8279.895, -19.836599
 8359.655, -19.755560
 8440.184, -19.629822
 8521.487, -19.455408
 8603.575, -19.242987
 8686.453, -18.895685
 8770.129, -18.442915
 8854.611, -17.953152
 8939.908, -17.420149
 9026.025, -16.859385
 9112.974, -16.283335
 9200.759, -15.730687
 9289.389, -15.206746
 9378.874, -14.737772
 9469.220, -14.345342
 9560.437, -14.071717
 9652.532, -13.952676
 9745.515, -13.997231
 9839.394, -14.202275
 9934.176, -14.555152
10029.871, -15.055025
10126.489, -15.729893
10224.037, -16.554996
10322.525, -17.494881
10421.962, -18.474367
10522.356, -19.431896
10623.718, -20.341921
10726.056, -21.170771
10829.380, -21.913374
10933.699, -22.567709
11039.023, -23.159168
11145.361, -23.712288
11252.725, -24.216911
11361.122, -24.660580
11470.563, -25.025976
11581.060, -25.319658
11692.619, -25.568163
11805.254, -25.809650
11918.974, -26.037872
12033.789, -26.227036
12149.710, -26.359356
12266.748, -26.483036
12384.913, -26.655197
12504.217, -26.825148
12624.670, -26.948076
12746.283, -27.006462
12869.067, -27.010067
12993.035, -26.955578
13118.196, -26.821985
13244.563, -26.573191
13372.148, -26.243509
13500.962, -25.862228
13631.017, -25.418467
13762.323, -24.944223
13894.896, -24.506660
14028.745, -23.965904
14163.884, -23.329231
14300.324, -22.594759
14438.079, -21.819138
14577.160, -21.113026
14717.582, -20.577581
14859.356, -20.271534
15002.496, -20.192932
15147.015, -20.326855
15292.926, -20.660282
15440.242, -21.175224
15588.978, -21.849489
15739.146, -22.754816
15890.761, -23.867092
16043.836, -25.127069
16198.386, -26.422794
16354.424, -27.658947
16511.967, -28.752188
16671.025, -29.725044
16831.617, -30.609505
16993.756, -31.421171
17157.455, -32.138638
17322.734, -32.701359
17489.604, -33.054501
17658.080, -33.357567
17828.180, -33.648190
17999.918, -33.940979
18173.311, -34.217289
18348.375, -34.438702
18525.123, -34.572826
18703.576, -34.699295
18883.746, -34.852226
19065.654, -35.010727
19249.313, -35.117817
19434.740, -35.180496
19621.955, -35.455803
19810.973, -35.934078
20001.811, -28.294598
20194.488, -28.971830
20389.021, -29.710184
20585.428, -30.646091
20783.727, -31.984497
20983.938, -33.706852
21186.074, -35.797039
21390.160, -37.866295
21596.211, -39.956203
21804.246, -41.706795
22014.285, -42.799088
22226.350, -43.296799
22440.455, -43.735500
22656.623, -44.177700
22874.873, -44.464630
23095.227, -44.479660
23317.703, -44.384209
23542.322, -44.461266
