Frequency(Hz),   Magnitude(dB)
  251.464, 120.019905
  254.140, 119.981476
  256.844, 119.945953
  259.577, 119.915466
  262.339, 119.889488
  265.130, 119.865021
  267.952, 119.839821
  270.803, 119.813309
  273.684, 119.785355
  276.596, 119.755943
  279.540, 119.724197
  282.514, 119.687149
  285.520, 119.643280
  288.558, 119.595917
  291.629, 119.560287
  294.732, 119.553238
  297.868, 119.576218
  301.037, 119.609955
  304.241, 119.626999
  307.478, 119.620369
  310.750, 119.597427
  314.056, 119.572189
  317.398, 119.548370
  320.775, 119.526672
  324.189, 119.507187
  327.638, 119.493164
  331.124, 119.485786
  334.648, 119.483604
  338.209, 119.482010
  341.807, 119.478897
  345.444, 119.473679
  349.120, 119.465622
  352.835, 119.451996
  356.589, 119.432610
  360.384, 119.411507
  364.218, 119.395340
  368.094, 119.385712
  372.011, 119.378220
  375.969, 119.367615
  379.970, 119.352081
  384.013, 119.332542
  388.099, 119.309380
  392.228, 119.283539
  396.402, 119.259956
  400.620, 119.244019
  404.883, 119.235687
  409.191, 119.229538
  413.545, 119.221489
  417.945, 119.211197
  422.393, 119.199379
  426.887, 119.186241
  431.429, 119.171967
  436.020, 119.156502
  440.660, 119.140793
  445.348, 119.130089
  450.087, 119.127167
  454.876, 119.131989
  459.717, 119.140617
  464.608, 119.152924
  469.552, 119.171059
  474.548, 119.194221
  479.598, 119.215813
  484.701, 119.230232
  489.858, 119.241821
  495.071, 119.259880
  500.339, 119.281090
  505.663, 119.291214
  511.043, 119.287956
  516.481, 119.284805
  521.977, 119.290146
  527.531, 119.291290
  533.144, 119.279831
  538.817, 119.263184
  544.550, 119.253151
  550.345, 119.250702
  556.201, 119.250938
  562.119, 119.252014
  568.100, 119.252518
  574.145, 119.249603
  580.255, 119.238823
  586.429, 119.210571
  592.669, 119.174416
  598.975, 119.164398
  605.349, 119.185326
  611.790, 119.214027
  618.300, 119.222305
  624.879, 119.219193
  631.528, 119.213776
  638.248, 119.207474
  645.039, 119.205246
  651.903, 119.210785
  658.839, 119.224823
  665.850, 119.240616
  672.935, 119.254837
  680.095, 119.269936
  687.332, 119.275543
  694.645, 119.249969
  702.037, 119.228401
  709.507, 119.235725
  717.057, 119.274361
  724.686, 119.297882
  732.398, 119.304474
  740.191, 119.307846
  748.067, 119.316521
  756.027, 119.333611
  764.071, 119.358109
  772.201, 119.382370
  780.418, 119.399994
  788.722, 119.409859
  797.115, 119.431847
  805.597, 119.468216
  814.169, 119.514076
  822.832, 119.553406
  831.587, 119.589233
  840.436, 119.621826
  849.379, 119.653587
  858.417, 119.692314
  867.551, 119.737862
  876.782, 119.789032
  886.111, 119.838570
  895.540, 119.885139
  905.069, 119.926544
  914.700, 119.977280
  924.433, 120.036613
  934.269, 120.099525
  944.210, 120.161560
  954.257, 120.236214
  964.411, 120.321747
  974.673, 120.404068
  985.044, 120.485008
  995.526, 120.562759
 1006.119, 120.642838
 1016.824, 120.725769
 1027.644, 120.816910
 1038.579, 120.907906
 1049.630, 120.992676
 1060.799, 121.075813
 1072.086, 121.167564
 1083.494, 121.262627
 1095.023, 121.350327
 1106.674, 121.434906
 1118.450, 121.526764
 1130.351, 121.635544
 1142.379, 121.743149
 1154.534, 121.837128
 1166.819, 121.917572
 1179.235, 121.992653
 1191.783, 122.077942
 1204.464, 122.166641
 1217.280, 122.261971
 1230.233, 122.347687
 1243.323, 122.427490
 1256.553, 122.504051
 1269.923, 122.587807
 1283.436, 122.677475
 1297.093, 122.749924
 1310.895, 122.816429
 1324.843, 122.874802
 1338.940, 122.942215
 1353.188, 123.004593
 1367.586, 123.067360
 1382.138, 123.129662
 1396.845, 123.185570
 1411.708, 123.243622
 1426.730, 123.300789
 1441.911, 123.358879
 1457.254, 123.410095
 1472.760, 123.458870
 1488.431, 123.514496
 1504.269, 123.557625
 1520.275, 123.605003
 1536.452, 123.641365
 1552.801, 123.689735
 1569.323, 123.730583
 1586.022, 123.789986
 1602.898, 123.845062
 1619.954, 123.893982
 1637.191, 123.930199
 1654.612, 123.965714
 1672.218, 124.007462
 1690.011, 124.053276
 1707.994, 124.100655
 1726.168, 124.147537
 1744.536, 124.196022
 1763.099, 124.241035
 1781.859, 124.280685
 1800.819, 124.319534
 1819.981, 124.368591
 1839.347, 124.419357
 1858.918, 124.467560
 1878.698, 124.505241
 1898.689, 124.546730
 1918.892, 124.597641
 1939.310, 124.650818
 1959.946, 124.696548
 1980.801, 124.735123
 2001.878, 124.774902
 2023.179, 124.825829
 2044.707, 124.880783
 2066.464, 124.935532
 2088.452, 124.984444
 2110.674, 125.026566
 2133.133, 125.074150
 2155.831, 125.118195
 2178.771, 125.169380
 2201.954, 125.212357
 2225.384, 125.254684
 2249.063, 125.296211
 2272.995, 125.341064
 2297.181, 125.384247
 2321.624, 125.420746
 2346.328, 125.456207
 2371.294, 125.492722
 2396.526, 125.534676
 2422.027, 125.574142
 2447.798, 125.611610
 2473.844, 125.643036
 2500.168, 125.675316
 2526.771, 125.710304
 2553.657, 125.747688
 2580.830, 125.774879
 2608.291, 125.796570
 2636.045, 125.814629
 2664.094, 125.840668
 2692.442, 125.865265
 2721.091, 125.888222
 2750.045, 125.906097
 2779.307, 125.920685
 2808.881, 125.935608
 2838.769, 125.950912
 2868.975, 125.967262
 2899.503, 125.983925
 2930.355, 125.997581
 2961.536, 126.012405
 2993.049, 126.022461
 3024.896, 126.036194
 3057.083, 126.050194
 3089.612, 126.067764
 3122.488, 126.079361
 3155.713, 126.090126
 3189.292, 126.101242
 3223.228, 126.117416
 3257.525, 126.135628
 3292.187, 126.155441
 3327.218, 126.179390
 3362.621, 126.210693
 3398.402, 126.245361
 3434.563, 126.278526
 3471.108, 126.316208
 3508.043, 126.363449
 3545.371, 126.418449
 3583.096, 126.478462
 3621.222, 126.540596
 3659.754, 126.604469
 3698.696, 126.659653
 3738.052, 126.713188
 3777.827, 126.762230
 3818.026, 126.810745
 3858.652, 126.851807
 3899.710, 126.891693
 3941.206, 126.926468
 3983.142, 126.960464
 4025.525, 126.982819
 4068.360, 126.997765
 4111.649, 127.005836
 4155.400, 127.009476
 4199.616, 127.001785
 4244.302, 126.980789
 4289.464, 126.950287
 4335.106, 126.912643
 4381.235, 126.862907
 4427.854, 126.802101
 4474.969, 126.729134
 4522.585, 126.645653
 4570.708, 126.552170
 4619.343, 126.451576
 4668.496, 126.339455
 4718.171, 126.198990
 4768.376, 126.026878
 4819.114, 125.821426
 4870.393, 125.575317
 4922.216, 125.283089
 4974.592, 124.935341
 5027.524, 124.566849
 5081.021, 124.173004
 5135.085, 123.780869
 5189.726, 123.402519
 5244.948, 123.058838
 5300.757, 122.758987
